WEB_TEXT,TITLE,DESCRIPTION,KEYWORDS,TARGET
,Square Pizza,Hello pizza lovers! our hours have changed - which means more time for you to get your favorite pizza! take a look! monday - closed tuesday - 11:30am - 8pm wednesday - 11:30am - 8pm thursday -...,,restaurant
,Home,Mexican Food Mexican Boston Margaritas,,restaurant
,Organic Cafe | Luscious Lorraine's,"Luscious Lorraine's Organic Juice + Eatery is the desert's best seasonal, local and organic cafe! Options for every lifestyle. Practicing culinary coexistence since 1999.","best vegan near me, coachella valley, health cafe, juice bar, local, organic cafe, smoothies, vegan, vegetarian, vegetarian near me",restaurant
,"MT's Local Kitchen & Wine Bar | Nashua, New Hamshire","Located in Downtown Nashua, New Hampshire, MT's Local Kitchen & Wine Bar features chef inspired, locally sourced comfort food with a creative twist to showcase the best of each product.",,restaurant
,Marriott,Marriott,,restaurant
"Search for: Menu Saigon Noodle House Saigon Noodle House offers the exotic and delicious flavors of South Vietnam. Our roots are in South Vietnam, where we grew up eating this cuisine and where our father owned a sandwich & noodle house of his own. It is our greatest joy to share the flavors of our home country with you! Now serving BIRMINGHAM in two locations! River Ridge 4606 US – 280 #108 Avondale 3719 3rd Avenue South © 2020 Saigon Noodle House",,,,restaurant
,Carbon Live Fire Mexican Grill,Carbon Live Fire Mexican Grill serving Authentic Mexican Food in Chicago. Order online for delivery or pick-up.,"Mexican, Restaurant, Chicago, Carbom, Live, Fire, Mexican, Grill, Mexican Chicago, mexican restaurant, Chicago mexican restaurant, Chicago mexican food delivery, Carbon Live Fire Mexican Grill, Carbon Mexican restaurant",restaurant
"503.963.8000 © Copyright 2006-2018, Sanborn's Restaurant. All rights reserved",,,,restaurant
Serving Chicago for over 30 years Gyros • Chicken • Burgers Dine-In or Carry Out Welcome © 2020 Windy City Gyros. All Rights Reserved.,,,,restaurant
,"Benito's Mexican Cuisine | Ft. Worth, TX | Mexican Food Restaurant","Come to Benito's to enjoy authentic (not tex-mex) Mexican cuisine, prepared by cooks with 20 years of experience in homemade Mexican food!",,restaurant
,,"Gastropub located in Girard Estate, South Philly, 14 rotating taps, chef driven upscale pub fare.","pub,bar,cafe,tavern,gastropub,taproom,craft beer,beer bar,",restaurant
"Publix Where shopping is a pleasure. Since 1930, Publix has grown from a single store into the largest employee-owned grocery chain in the United States. We are thankful for our customers and associates and continue remaining deeply dedicated to customer service and community involvement, and being a great place to work and shop. Currently, we are not able to service customers outside of the United States, and our site is not fully available internationally. (Our apologies!) But, the next time you travel to Florida, Georgia, Alabama, South Carolina, North Carolina, Tennessee, or Virginia—make sure you visit the store “where shopping is a pleasure” during your stay. Upon your arrival, you may plan your grocery trips, find weekly savings, and even order select products online at",,,,restaurant
,A Toda Madre,Authentic Mexican flavors highlighted in a seasonal-modern way.,"mexican, events, tacos, margaritas, tequila, ceviches, mezcal, catering, craft cocktails, hottest restaurant, best mexican, best tacos, best margaritas, craft beer, hot spot, date spot, bien trucha",restaurant
,Greenfields Pool & Sports Bar,"Our sports bar in Lakewood, CO isn't your typical bar. Not only do we have billiards and other games we also have live music and weekly specials.",,restaurant
,,"Bluehost - Top rated web hosting provider - Free 1 click installs For blogs, shopping carts, and more. Get a free domain name, real NON-outsourced 24/7 support, and superior speed. web hosting provider php hosting cheap web hosting, Web hosting, domain names, front page hosting, email hosting. We offer affordable hosting, web hosting provider business web hosting, ecommerce hosting, unix hosting. Phone support available, Free Domain, and Free Setup.","web hosting, provider, php hosting,web hosting, free domain names, domain name, front page hosting, web site, web design, domain name registration, business web site, web site hosting, web space, picture hosting, small business, cheap web hosting, webmaster, web site builder, web space, affordable web hosting, marketing, cgi perl php hosting, blog, blogs, blogger, weblog, web log, weblogs, web logs, internet marketing, internet advertising",restaurant
,"Thyme Restaurant | Roslyn | Long Island, New York | USA | Restaurant","thyme restaurant, considered one of the best restaurants in Long Island, NY believes, ""Food is our common ground ... a universal experience""","Dining, Fine Dining, Long Island, brunch, dinner, lunch, nassau county, prix fixe, restaurant, roslyn, thyme, thyme Restaurant",restaurant
,"Hooters Restaurants | Online Ordering, Takeout, Delivery","At Hooters, you'll find craveable food and wings, cold beer, sports, and of course, Hooters Girls. View our menu online and find a location near you. Order online for takeout or delivery!","world famous wings, cold beer, Hooters girls, online menu, stuffed wings, order online",restaurant
"A classically trained chef applies his creative talent to wraps and more. Now busy people can enjoy our fresh, specialty sandwiches, hot homemade soups, crisp salads, tasty pastas and much more. Check out our menu and catering options. Don't forget to check our daily specials. At Mr. Wrap's we're passionate about creating delicious food for our friends, neighbors and clients. 741 Garden St. 201-386-3200 201-386-3291 Mon-Fri 10am to 10:30pm Sat-Sun 9am to 10:30pm Copyright © 2019 Mr. Wrap's American Bistro",,,,restaurant
,,Please browse our locations below: Stoney's Broomes Island Stoney's Kingfishers Stoney's Clarke's Landing...,,restaurant
"Close CATERING MENU Call us: 212-792-6765 Email us: orders@kosherinmidtown.com 43 East 34 ST. NYC Sunday-Thursday: 11:00AM-8:00PM Friday 11:00AM-3:00PM Saturday: Closed Phone: 212-792-6765 Email: orders@kosherinmidtown.com JOIN OUR MAILING LIST For Special Deals And Contest Giveaways Email (required) Example: Yes, I would like to receive emails from PITOPIA. (You can unsubscribe anytime) Constant Contact Use. By submitting this form, you are consenting to receive marketing emails from: Kosher In Midtown, 43 East 34 Street , NYC, NY, 10016, http://kosherinmidtown.com. You can revoke your consent to receive emails at any time by using the SafeUnsubscribe® link, found at the bottom of every email. LUNCH AT PITOPIA Menu Contacts 212-792-6765 Pitopia © 2020 All Rights Reserved",,,,restaurant
,On The Alley | Casual Santa Barbara Harbor Restaurant |,"On The Alley is a more casual sister venue brought to you by the owners of Brophy Bros., Santa Barbara's wildly popular seafood restaurant. Serving fresh fish tacos, tasty burgers (try the Alley Burger) and salads, On The Alley dishes up great lunch fare in view of the harbor.",,restaurant
"Manhattan Beach, CA Cooking up your cravings © 2020 by Ocean View Cafe 229 13th St, Manhattan Beach, CA 90266 - Phone (310) 545-6770",Home | Ocean View Cafe,,,restaurant
www.giuseppesitalianportland.com Coming soon.,,,,restaurant
,"Art of Cakes Maryville, Tn","Art of Cakes Bakery is a local bakery in Maryville, TN. Specializing in artisan cakes. Made from only the finest, fresh ingredients daily. Our business revolves around making your special day perfect!","Maryville, Knoxville, TN, Bakery, Cakes, Fondant, Wedding Cake, Birthday Cake, Knoxville, Cinnamon Rolls, Fresh, Local, Sweet, Gluten Free, Nut Free, Sugar, Icing, Cupcakes, Dessert, Cake Decorator, Pies, Cheesecake, Cinnamon Bread, Brownies, Baby Shower",restaurant
,,,,restaurant
,"Tripadvisor: Read Reviews, Compare Prices & Book","World's largest travel platform. Browse hundreds of millions of traveler reviews and opinions. Compare low prices on hotels, flights, and cruises. Book popular tours and attractions as well as reserve tables at great restaurants.",,restaurant
Loading... Toggle navigation Fresh Juice vegetarian dishes Soup? Natural Way Cafe LLC Store Hour: Mon - Sat 10AM - 6AM. Call to order 201-791-1717,,,,restaurant
,,The official website for the American Oxford Sheep Association,"Oxford, sheep, American Oxford Sheep Association, Double ""O"" Acres, Winning Ways Sheep Farm, Lutz Oxfords, Double ""A"" Oxfords, Midwest Oxfords, Edgewood Farm, International Livestock Exposition",restaurant
,,ð® Baja Fresh Restaurant #30629 ð¯ Mexican Restaurant in Fairfax VA 22033,"Baja Fresh Store #30629, Mexican Restaurant in Fairfax, VA 22033",restaurant
ERROR,,,,
,The Muse Coffee Company - Online Store,"Muse Coffee Company has been roasting artisanal coffee from all over the world for the past nine years. Shop our Single Origins, Blends, and Flavored coffees.",,restaurant
,,"Cong Bed and Breakfast, the comfort of your own home at the gates of Ashford Castle","Cong,cong,B&B,Bed and Breakfast,Cong bed and breatfast,bed and breatfast Cong,accomodation Cong,Cong accomodation",accommodation
,,We know fresh,,restaurant
,honeygrow | Honest Eating + Growing Local,"honeygrow is a restaurant concept born in Philadelphia in 2012, specializing in wholesome, fully customizable stir-fry, salad, and honeybar desserts made from locally sourced ingredients","honeygrow, noodles, stir fry, stir-fry, stirfry, salad, honeybar, best stir fry, best salad, philadelphia, boston, baltimore, dc, washington dc, delaware, newark, wilmington, king of prussia, kop, radnor, main line, bala cynwyd, bala, pittsburgh, rockville, catering, salad catering, office catering, graduation catering, party catering, vegan, vegetarian, best salad philadelphia, best salad philly, best salad pittsburgh, best salad boston, best salad new york, best salad Brooklyn",restaurant
,Restaurants & Bars in NYC & Across the US | BR Guest Hospitality,"Welcome to BR Guest Hospitality - a collection of America's favorite restaurants and bars located in New York City, Las Vegas and Atlantic City.",,restaurant
,,"Dedicated to food, drink, design, and community, Workshop is a gem in the heart of Palm Springs’ Uptown Design District.","food, bar, restaurants, cocktails, palm springs, workshop, eat in",restaurant
,,The owner of this domain has not yet uploaded their website.,,restaurant
,Chaia Tacos,Chaia is an unconventional shop serving insanely delicious tacos made entirely with vegetables.,"chaia, tacos, DC, healthy, delicious, seasonal, vegetables, plant-based, stylish, fast casual, Washington, D.C., farm to taco, farm to table, mexican, vegetarian, vegan",restaurant
"Home of Gourmet Mexican Food Welcome to Viva Mexicana. We serve home made award-winning Mexican food that is upscale and exotic at an affordable price. Every dish is created to order, using only the freshest and finest of California's bounty. We ""go organic"" wherever possible, we use fresh ingredients, including our meat, which are antibiotic free, and we cook without lard, using minimal oil. Fresh, healthy, local, flavorful, unique, and absolutely delicious Mexican food – That’s the Viva Mexicana Tropi-Cal difference. Open daily from 9am to 8pm, Wednesdays 11-8, Sundays from 9am to 3pm Powered by",Viva Mexicana - Gourmet Mexican Food,,,restaurant
The page has moved to:,,,,restaurant
"Toggle navigation Always 14 in a Dozen Includes bars, jellies, twists Always Open Find Your Winchell’s Winchell’s Nearest You 1700 S. Western Ave. Los Angeles, CA 90006 Today: 24 Hours About Us Headquartered in City of Industry, CA, Winchell’s Donut House, “Home of the Warm ‘n Fresh Donut®,” is the West Coast’s largest donut chain with over 170 units, in 6 states, plus locations in Guam, and Saipan. Check Out Our Menu There is no such thing as too many choices… Email List Join our email list to get all the latest delivered to your inbox. * Indicates a required field Your Email Sign Up Follow Us On Social Check in and see all that's new with Winchell's Nutritional Guide For complete nutritional information about all of your favorite Winchell’s Donut House products, click the button to view our Nutritional Information Guide. For visually impaired guests, please call: Company Terms Connect © 2020 Winchell's Donut House, Inc. All Rights Reserved.",,,,restaurant
,,"Dosa Temple is best Indian Authentic Restaurant in Ashland, Ponds Plaza. It serves South Indian, North Indian dishes with a delicious taste.","Indian Restaurant in Ashland, Best Indian Restaurant in Ponds Plaza, North Indian Cuisine in Ashland, South Indian Cuisine in Ashland, Authentic Indian Restaurant in Ponds Plaza",restaurant
,,Armada Hotel family friendly accommodation located in Spanish Point County Clare on the West Coast of Ireland.,,accommodation
"The Vaad HaKashrus of Miami-Dade Kosher Miami certifies both retail establishments and commercial factories The Vaad HaKashrus of Miami-Dade Kosher Miami certifies both retail establishments and commercial factories Florida miami Establishment locator Latest posts from our Twitter Feed... Dessert Deluxe is now open under KM supervision. Pareve, Pas Yisroel, Yoshon and some gluten free. 786-627-2550 or… Gaucho Kosher is now open under KM supervision, providing fine Glatt Kosher meats. (786) 548-2935, email The Fresh Carrot @ Parksquare is now open under KM supervision. 100% natural, fresh & healthy salads, wraps, bowls,… Mikes Kosher Kitchen is now open under KM supervision. Offering homemade prepared foods, custom menus, meal plans,… Unik Kosher Catering now open under KM supervision, offering gourmet kosher catering customized to your needs. 2655… – About us learn more about us – Rabbinic Board view a list of our Rabbis contact us Please leave this field empty. Sign up for Alerts and Notifications How to Reach Us Kosher Miami Site designed and developed by",,,,restaurant
,,Welcome to the Hi Spot Cafe Website!,,restaurant
CHOOSE YOUR DESTINATION Riverside Pizza & Deli 74 North Street Hours: 17K Rock Tavern 455 Route 17K Hours:,,,,restaurant
,,"Oasis Country ClubOasis remain one of the best kept secrets in the desert. So take a moment to browse our website, dream of what could be, and escape to your own private Oasis.","Oasis Country ClubHome, Palm Desert, Oasis Country Club",restaurant
,,"Spectacular Tubers is a restaurant chain started in Louisiana serving specialty stuffed baked potatoes topped with seafood, meats, cheeses, homemade sauces, bacon, and more! Only fresh, quality ingredients find their way onto the Spectacular Tubers’ menu. Our recipes combine some of the most flavorful foods and spices on the planet. Whether it’s our fresh garden salads, delicious gourmet sandwiches, or famous Tubers, you can count on freshness and flavor in every bite!",,restaurant
"MENUS OUR TEAM More... Niche:(noun): suitable place for somebody: a position or activity that particularly suits somebody's talents and personality or that somebody can make his or her own. Cafe Niche has been a neighborhood staple for over 5 years, and now Niche is proud to carry on the tradition of a relaxed, friendly atmosphere with an innovative twist. The fare revolves around the best fresh ingredients prepared in a simple and timeless way to highlight flavors. With an emphasis on supporting local farms, ranchers and food purveyors for the most flavorful ingredients around, Niche sets the table as food-centric community restaurant. Whether you stop in for a quick cup of coffee and a pastry in the morning, a power-lunch meeting or a relaxed dinner with friends, we invite you to find your own niche with us. Cafe Niche (801) 433-3380 779 E 300 S, Salt Lake City, UT 84102 Hours MOnday-Saturday Brunch 9am-2:30pm DINNER 4pm-8pm sunday BRUNCH 9am-3pm Closed for dinner © Copyright 2018-2019 LaSalle Restaurant Group. All Rights Reserved.",NICHE,,,restaurant
LOCATION Mon-Fri 8 am-6 pm Sat Closed & Sun 11 am-5 pm Search form Search Home Alive & Well Recipes Educational Content (c) 2010-2020 Taste For Life. Store content (c) Alive & Well.,Alive & Well,,,restaurant
,"5 De Mayo Mexican, Best Mexican Restaurant","5 De Mayo Mexican, Best Mexican Restaurant in Westbury, NY featuring authentic food","Best restaurant, Fajitas, Mexican, Westbury NY",restaurant
,"Pizza Pub Italian Restaurant & Pizzeria | Fort Myers, FL",239-489-1414 - Contact us today to get FREE delivery on orders worth $10 and above. Italian dishes. Pizza. Pasta. Salads.,,restaurant
,,The Village Pizza- New York Style personal pizzas,"Pizza, Sandwiches, fresh salads, desserts, beer, chicken tenders, to-go, fast, fresh,",restaurant
,,"Woodbine Cottage is a charming, Failte Ireland-approved B&B located in the wonderful town of Westport, Co Mayo. Book online today.","Woodbine, Cottage, B&B, Westport, Ireland, Bed, Breakfast, Book, Online",accommodation
,"DJ's Drive In - Floyd, VA","Our menu features all your classic American favorites, made fresh to order. Stop by DJ's Drive In to enjoy a taste of simpler times.","djsdrivein.com, www.djsdrivein.com, fast food near me, best restaurant near me, best restaurant in Floyd, best burgers in Floyd, best hot dogs in floyd, best sandwiches in floyd, sub sandwich near me, sub sandwich flloyd, pizza near me, pizza floyd, best desserts near me, desserts floyd,",restaurant
"CHECK US OUT ON FACEBOOK! www.facebook.com/Big.Als.Pub.Charlotte/ www.facebook.com/grubberia/ 9306 Albemarle Road Charlotte, NC 28227 704-567-2333 Behind Rite Aid At The Corner Of Harrisburg And Albemarle Roads Open 7 Days A Week: Sunday: Noon til 2am Monday Thru Saturday: 11am til 2am Big Al's Pub & Grubberia",Home,,,restaurant
,,"View Cafe El Tapatio menu, Order Mexican food Delivery Online from Cafe El Tapatio, Best Mexican Delivery in Chicago, IL",,restaurant
"Search Search Made with Organic Corn Great Tasting For over 35 years, Garden of Eatin'® has been providing great tasting, authentic snack options made with NON-GMO and organic ingredients.",Home - Garden of Eatin',,,restaurant
"For Inquiries Phone Email Follow us on The Oasis Restaurant at Joe Pool Lake is a one of a kind dining experience in the Dallas and Fort Worth areas. Welcome to the Oasis at Joe Pool Lake The Oasis at Joe Pool Lake! Seafood, Casual Dining With A View, Live Entertainment! The Oasis at Joe Pool Lake The restaurant offers amazing fresh fish, oysters and catfish. A variety of seafood, steaks, and chicken. Delicious salads, sandwiches, and a large selection of great appetizers and a famous variety of signature cocktails. The building itself is lined with windows so even if you decide to eat a meal inside you can still enjoy looking out over Lake Joe Pool. The outside patio also offers a comfortable place to spend time with your family or friends with live entertainment all summer long. Upstairs, The Lake View Room We also have our new Oasis Custom Catering for delivery and offsite parties. Check out our menus and specials under our Private Party/Catering page. Come and check out this one of a kind dining experience! The Oasis Restaurant on Joe Pool Lake. All Rights Reserved. © 2016.",,,,restaurant
,,"Fresh, Local, Family. Serving the Indianapolis area and beyond for over 30 years!","sahms, big lug, liter house, restaurant, carryout, food, broad ripple, fishers, indianapolis, delivery, boombazz, nameless, catering, family deal, curbside, Carmel, place, food, grocery, provisions, eddie sahm, ed sahm, Bar and Grill, carmel, place, broad ripple",restaurant
"Natural Cleaning We are proud to introduce ""Natural Cleaning Solution"". *Non Toxic *No Odor *No Dingy *No Allergic Reaction *Restore Color, Brightness & Softens to your garment. Copyright © Thompson Cleaners. All Rights Reserved.",,,,restaurant
,,"Opened in 1972, the Smile of the Beyond is the first vegetarian diner in New York City. We serve delicious gourmet vegetarian breakfasts and lunches.",,restaurant
,Pacific'o Restaurant,"Beachfront Maui Dining in Lahaina, Maui.",,restaurant
,"BISTRO 1888 - fining dining in South Boston, VA, Halifax County, VA","Upscale, casual restaurant and bar in South Boston, VA offering infused New American cuisine in a cozy, cosmopolitan atmosphere","Fairfield Inn, Molasses Grill, The Prizery, bar, best restaurant in south boston, craft beer, danville, halifax, lamb, seafood, steaks, upscale restaurant, wine",restaurant
"Welcome to Potala Vegan Restaurant Come enjoy a tasty and healthy meal! Dear Customers, Dear Customers, Dear Customers, Dear Customers, Dear Customers, Our menu changes daily based on the freshest seasonal, organic ingredients available. LUNCH 11:00 AM - 3:00 PM DINNER 5:30 PM - 9:00 PM Each dish is available à la carte for $5 Read Our Reviews! Menu Monday, March 23, 2020 Chef Tenzin Dinner A Medium Meal is $13 and a Large Meal is $15 Black Eye Pea with mixed vegetables soups. Long Grain brown rice. Bean Cake with Sunflower Seed, Lemon Sauce. Sautéed Green Cabbage,Kambocha Squash,Beets,Potato. Steamed Collard Green and Kale with Shiitake mushrooms, leek Sauce. Mixed Green salad with Balsamic Vinegar,Tahini,Mint,Agave Dressing. Simple Meal (No Seasoning) A Simple Meal is $10 Long Grain brown rice. Black Eye Pea. Steamed Collard Green and Kale. Steamed Vegetables=Daikon,Carrot,Rutabaga. Beverages (All Organic) Kukicha Twig Tea Beers: Red Wines: White Wines: Desserts (All Organic • 100% Vegan • No Sugar • Sweetened with Agave) Cookies: Gems: Pies: (all pies contain nuts) Potala Vegan Restaurant Closed Until Further Notice Open 7 Days a Week",,,,restaurant
,FroyoWorld Frozen Yogurt Lounge | New England & Puerto Rico's Leading Frozen Yogurt Franchise,"Froyoworld Frozen Yogurt Lounge. New England & Puerto Rico's Leading Frozen Yogurt Franchise. Serving the Healthier Alternative to Ice Cream. Indulge Yourself with the sweet pleasures minus the guilt! CT, MA, RI, NH, PR",,restaurant
,,West Cork Bed and Breakfasts - Galley cove Bed & Breakfast accommodation is located between Galley Cove and Crookhaven and a short walk from the safe sheltered Cockle Strand in West Cork. Galley Cove House is also close to the world renowned strands at Barley Cove and Mizen Head with its unique visitor centre. Every room (including the dining room) has magnificent sea and country views and all bedrooms are equipped with television. Online reservations available,"west cork hotels, galley cove house, goleen, cape clear island, crookhaven, mizen head, itish lighthouses, cork bed and breakfasts, cork lodgings, accomodation in ireland, acomodation, bed and breakfasts, restaurants in ireland, irish restaurants, irish recipes, b&bs, cork guide, inns, irish lodgings, irish hotels, irish tourism, guesthouses, ireland travel, vacation rentals, pubs in ireland, irish pubs, golf ireland, lodgings, vacation rentals, cork guide, inns of ireland, innkeepers, ireland bed and breakfasts, aproved by the irish tourist board, guide to ireland, cork ireland, newspapers, irish history, county cork, irish vacations, bord failte, hostels, budget accommodation, west cork, b and bs, accomodation ireland, skibbereen, bantry, guide to cork, irish tourism, southwest ireland, vacation rentals, irish bus, eire, killarney, irish genealogy, golden pages, irish business directory, businesses in cork, vacations in ireland, golf courses in ireland, irish towns, travel ireland, urlaub in südwest irland, ferien in irland, unterkünfte, ferienwohnung, ferienhäuse, irland, urlaub in irland, urlaub auf dem bauernhof, irelanda, irelande, southern ireland real estate, accountants, irish property, irish jobs, jobs in ireland, blarney stone, blarney woollen mills, irish golf courses, fishing in ireland, munster, blarney ireland,",accommodation
,,"COVID-19 UPDATE: HOURS: Monday-Saturday 3pm-8pm Carryout, Contactless Curbside Pickup & Delivery 419.471.1100 Established in 2009, Ya Halla Restaurant is a Mediterranean and American Restaurant serving the finest Lebanese and American dishes. All of our entrees are made in house and fresh to order using recipes that have been used for generations. Our Fatoush, Grape Leaves,…",,restaurant
,,TacoTime Restaurant # - Mexican Restaurant in,"TacoTime Store #, Mexican Restaurant in ,",restaurant
,,Maid-Rite's loose meat sandwich franchise has been making delicious Maid-Rite sandwiches since 1926.,"maid rite, maid-rite, maderite, sandwich franchise, fast food franchise, restaurant franchise, franchise opportunities, loose meat sandwich",restaurant
,,,"steak,steakhouse,san diego,mission valley,prime rib,catering,oceanside,banquets,bar ,happy hour,lounge,dinner,reservations,special occasion,filet mignon,dining,wine,beer,lunch,ribeye,grill,top sirloin,new york strip,food,local",restaurant
,,Accommodation Blarney Bed & Breakfast - The White House is a recently renovated Guesthouse situated 2 minutes walk form the village green in Blarney County,,accommodation
,,Big Al's Steaks in Boynton Beach Offers A Truly Authentic Philadelphia Cheesesteak Sandwich Outside of Philadelphia. Contact @ (561) 424-0089.,,restaurant
"What’s Happening Upcoming Events There are no upcoming events at this time. Bar Hours Tues - Fri: 11am - 2am Closed Mondays Sat & Sun: 10am - 2am Kitchen Hours Tues: 11am - 11pm Wed & Thurs: 11am - 12am Friday: 11am - 1am Saturday: 10am - 1am Sunday: 10am - 10pm Mayslack's Bar 1428 4th Street NE Minneapolis, MN 55418 Copyright All Rights Reserved Mayslack's Bar © 2017 • created by",,,,restaurant
,,,,restaurant
,"Mexican Cuisine, Suisun City, CA | La Cabaña","Indulge in delectable Mexican cuisine when you come and dine with your friends here at La Cabaña in Suisun City, CA. Our bar and grill restaurant has a unique and fun atmosphere perfect for parties and special celebrations. If you are interested to try our mouthwatering dishes, contact us today.",,restaurant
,,La Hacienda Mexican Restaurant,,restaurant
thevictorycafe.com Coming soon.,,,,restaurant
"Fast | Fresh | Friendly What's New! Daily Specials Monday Tuesday Wednesday Thursday Friday Saturday Sunday Lunch Special Our Mission Our mission is to community, in house and on site preparation with friendly – fresh – fast service. Get in touch Hours and Information Monday Tuesday Wednesday Thursday Friday Saturday Sunday Contact Us! 7214 Fulton Drive NW (330) 830-1443 Keep Updated Join our preferred customer list for 20% off your next order!",,,,restaurant
,Texas Tamale Co,"Texas tamales, mexican food, gifts online, ship tamales, buy tamales online, buy frozen tamales online buy mexican tamales online, where can i buy tamales online, houston, texas, beef tamales, chicken tamales, award-winning tamales, pork tamales, vegan tamales, black bean tamales, spinach tamales",,restaurant
,,Viceroy Indian Dining,,restaurant
"Amherst - (603) 882-7725 Bedford - (603) 647-CAKE(2253) North Andover - (978) 208-7806 Congratulations on your Welcome to Wedding Cakes by Frederick's You've just said your vows and now you're ready to party! Did you know that wedding guests remember the wedding cake almost as much as they do the wedding itself? So why not give them the best… a Frederick's wedding cake. Frederick's Pastries has been specializing in wedding cakes since 1980 and has designed thousands of awe-inspiring and delectable cakes for thousands of happy couples. Not only beautiful, they are delicious… baked fresh with only the finest ingredients just for you! Schedule your complimentary tasting today and taste for yourself why Frederick's has been named Best of New Hampshire, by the people of NH, time and time again and voted into The Knots Hall of Fame! Call Us Today Amherst Bedford North Andover © Frederick's Pastries 2000-2016, All rights reserved. Website by Amherst, NH 109 State Route 101A Bedford, NH 25 South River Road North Andover, MA 119 Main Street",,,,restaurant
"Search for: Search Search for: Search Previous Slide Next Slide We're putting our charo twist on pasta Stop on by your local Charo Chicken restaurant and experience our new Pasta Salad recipe, filled with Tri-Color (Rainbow) Rotelle pasta, Red and Green Peppers, Pickled Onions, and our Charo vinaigrette dressing. Order it as a side with your next Chicken Meal. Social Gallery Copyright Charochicken©2019 Powered by Scroll Up Scroll Up",,,,restaurant
,Sun Grown,Organic Distributors,,restaurant
"Thank you for visiting our website! Placing an order with us has never been easier. Just select a food category and select your options. When you are finished, place your order and we will call you when it's complete! TODAY'S SPECIAL Tex-Mex Torta Requests: $9.50 Soup of the Day Chicken Noodle Small: $2.95 Large: $3.75 CATEGORIES YOUR ACCOUNT Need to make changes to your information? Call us at 760-431-8148 760-431-9743 We're open Mon - Fri, 7am - 2:00pm ©2020 On A Roll Sandwich Shoppe - All Rights Reserved",,,,restaurant
,,"The Knife & Fork Inn is located at the corner of Atlantic and Pacific Avenues in Atlantic City, only three blocks from the Hilton and about eight blocks from Tropicana. There is an extensive (read: 10,000+ bottles) wine selection with a sommelier on premises. Open from 5pm seven days a week for dinner and Fridays for lunch from 11:30 to 4:30","atlantic city, new jersey, steak, wine, restaurant, restaurants, Frank Dougherty, the Knife & Fork,",restaurant
,Chicken Restaurant | Rotisserie Chicken Restaurant | Casual Dining Restaurant - Cowboy Chicken,"Cowboy Chicken, a high quality casual dining restaurant, serving hormone free, all-natural wood-fire rotisserie chicken, signature sour cream tomatillo enchiladas and abundant homestyle sides. Visit today or order online!",,restaurant
,"Paige Hospitality Group: Rock your ""A""","Rock Your âAâ Guidelines 1) Get your Hat: Get your hands on an official Ainsworth Hat, (Ainsworth, Ainsworth Park or Ainsworth Las Vegas) - Hats available upon request at the Venues and/or be passed out during special Football Game Days also at the venues. 2) Rock Your âAâ: Whether it is a great shot of you Rocking Your âAâ out on the town or you Rocking Your âAâ in a faraway exotic place, we want to see them! 3) Take a Pic: - Photos will be judged for the final round based on originality, creativity and WOW factor - Ainsworth Hat with logo must be clearly visible - Top 10 Photos will go on to the final round. Decisions of the judges are final and binding. 4) Submit: - To enter just submit your photo here OR upload to Instagram or Twitter using Hash tag #RockYourA ! - Only the person that submits the photo will be eligible for grand prizes, multiple submissions of the same photo is grounds for disqualification. (Please terms and condition & eligibility for complete rules) - All entries must be submitted by Monday January 21st 2013 5) VOTE: Tuesday January 22nd 2013 Voting will OPEN for final round contestants. - Then it is time for you and everyone you can find to vote for your favorite entries and who you think deserves the Ultimate Fan Getaway to Ainsworth Las Vegas! - Voting closes Super Bowl Sunday February 3rd at 6pm est : Winner will be announced same day at 8pm est. Grand Prizes First Prize: Two round trip tickets to Las Vegas, Two night stay at the Hard Rock Hotel & Casino , VIP Table at Ainsworth LV for ""Game On"" Sunday! Second Prize: Receives $500 complimentary tab during March Madness 2013 for 6-8 guests at one of our NYC locations. Third Prize: Receives $250 complimentary tab at the Ainsworth Tuesday Night Dinner Series for 4 guests.",,restaurant
,Han Shin Japanese Steakhouse and Sushi,"Once you step through the door and leave the hussle and bussle behind, you will enjoy the wonderful taste of true Japanese cooking. With a fabulous menu of choices you can enjoy the Japanese cooking at the table or relax with a plate of sushi & a glass of plum wine at your own booth.",,restaurant
,"Italian Restaurant - New York, NY - Il Cortile Restaurant","Stop by Il Cortile Restaurant in Little Italy, NYC for fresh, authentic Italian food. Reserve your table online or call 212-226-6060.","italian restaurant NYC, italian food, il cortile new york, Italian Food NYC, il cortile NYC, little italy NYC restaurants, italian restaurant, What is the best restaurant in Little Italy?, What is the best restaurant on Mulberry street?, Outdoor dining, Wine, Dessert, Celebrities, Wedding venue, Private Party, Lunch special, Fine dining, Homemade Pasta, Pizza, Cocktails, Somelier, Mixologist, Family, Famous, Historic, Iconic, Best, Delicous, Specials, Romantic, Beautiful, Classy, Little Italy, Mulberry Street, San Gennaro Feast, Downtown, Sopranos, Billy Joel, Live music, Italian, Private catering, Delivery, Uber Eats, Seamless, Outdoor patio, Dinner, Best food in Little Italy, Best Italian food in Little Italy, Best food on Mulberry Street,Best Italian food on Mulberry Street",restaurant
"SPEcials Breakfast nachos Chilaquiles Xangos Find Our Different Locations! Taco Roco Favorites! Welcome to Taco Roco, one of the most successful Mexican restaurants on the Central Coast of California. We offer casual fast food and we are the perfect choice for those who prefer real Mexican food. Breakfast Burrito Sopes Torta Interested in CATERING? Let's get something started today! MENU Find Our Different Locations!",,,,restaurant
